x,y,pearson_r,pearson_p,spearman_r,spearman_p,n_distinct_x_values,n_rows
elevation_m,temperature_2m,0.1577380229546476,0.0,0.1258141154124686,0.0,4,306888
elevation_m,precipitation,-0.054623949420179424,1.9327964844372727e-201,-0.19248762984685097,0.0,4,306888
elevation_m,wind_speed_10m,0.12664792929003388,0.0,-0.007041387218271186,9.588205332249163e-05,4,306888
elevation_m,relative_humidity_2m,-0.22125723880559975,0.0,-0.18925782759713022,0.0,4,306888
elevation_m,pressure_msl,-0.13486008719750317,0.0,-0.13252314059592935,0.0,4,306888
latitude,temperature_2m,0.19467095122421524,0.0,0.1967619831055538,0.0,6,306888
latitude,precipitation,-0.07019896032915121,0.0,-0.21921689047381976,0.0,6,306888
latitude,wind_speed_10m,0.4458616168176059,0.0,0.3587374829199933,0.0,6,306888
longitude,temperature_2m,0.12421329176868756,0.0,0.0552254840403666,7.323153770069716e-206,6,306888
longitude,precipitation,-0.04722414812448163,5.054970434826685e-151,-0.11255330430724557,0.0,6,306888
longitude,wind_speed_10m,-0.09588828834097245,0.0,-0.046921465358772604,4.070942312611507e-149,6,306888
relative_humidity_2m,temperature_2m,-0.8358887969933476,0.0,-0.7974924044954856,0.0,73,306888
pressure_msl,elevation_m,-0.13486008719750317,0.0,-0.13252314059592935,0.0,194,306888
