,temperature_2m,apparent_temperature,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,surface_pressure,cloud_cover,dew_point_2m,elevation_m,latitude,longitude
temperature_2m,1.0,0.8234947371379424,-0.15946697981113392,0.21662495427867282,-0.8358887969933686,-0.3810156111825622,-0.3880848565708042,-0.13775835169607292,-0.04463285663196901,0.15773802295465078,0.19467095122418723,0.12421329176871339
apparent_temperature,0.8234947371379424,1.0,-0.11296002970705062,-0.27265061614165853,-0.5124645919368374,-0.23454717081592827,-0.22959841218706925,-0.13573758824000387,0.2692500189341557,0.017591140342632303,-0.07503726498333722,0.08691804581410674
precipitation,-0.15946697981113392,-0.11296002970705062,1.0,0.006829238658474554,0.20731870726522683,-0.03677222493238112,-0.030106735727058912,0.194810976901602,0.11626687299874103,-0.05462394942018136,-0.07019896032914844,-0.047224148124487136
wind_speed_10m,0.21662495427867282,-0.27265061614165853,0.006829238658474554,1.0,-0.22566717747882245,-0.2975903583875793,-0.304969438578881,0.08045669491634043,-0.04576139288147237,0.12664792929002863,0.4458616168175986,-0.09588828834102965
relative_humidity_2m,-0.8358887969933686,-0.5124645919368374,0.20731870726522683,-0.22566717747882245,1.0,0.21307196713327015,0.23089401214410826,0.20450083185840948,0.5704432338760831,-0.22125723880557285,-0.24891681396069998,-0.19281850081684115
pressure_msl,-0.3810156111825622,-0.23454717081592827,-0.03677222493238112,-0.2975903583875793,0.21307196713327015,1.0,0.9935026705057415,-0.19572358765480657,-0.1601706097457311,-0.13486008719650072,-0.15797532889413274,-0.08210820014246359
surface_pressure,-0.3880848565708042,-0.22959841218706925,-0.030106735727058912,-0.304969438578881,0.23089401214410826,0.9935026705057415,1.0,-0.18545640968322816,-0.1377643620684036,-0.24625614841334997,-0.22998099892412657,-0.12431633799050108
cloud_cover,-0.13775835169607292,-0.13573758824000387,0.194810976901602,0.08045669491634043,0.20450083185840948,-0.19572358765480657,-0.18545640968322816,1.0,0.1470818311242143,-0.05692310597938218,-0.0905107619092856,-0.010259478888737508
dew_point_2m,-0.04463285663196901,0.2692500189341557,0.11626687299874103,-0.04576139288147237,0.5704432338760831,-0.1601706097457311,-0.1377643620684036,0.1470818311242143,1.0,-0.17308722843540963,-0.12663295518274592,-0.19345405635048785
elevation_m,0.15773802295465078,0.017591140342632303,-0.05462394942018136,0.12664792929002863,-0.22125723880557285,-0.13486008719650072,-0.24625614841334997,-0.05692310597938218,-0.17308722843540963,1.0,0.6831641832997509,0.36292880009277473
latitude,0.19467095122418723,-0.07503726498333722,-0.07019896032914844,0.4458616168175986,-0.24891681396069998,-0.15797532889413274,-0.22998099892412657,-0.0905107619092856,-0.12663295518274592,0.6831641832997509,1.0,0.1328683591051439
longitude,0.12421329176871339,0.08691804581410674,-0.047224148124487136,-0.09588828834102965,-0.19281850081684115,-0.08210820014246359,-0.12431633799050108,-0.010259478888737508,-0.19345405635048785,0.36292880009277473,0.1328683591051439,1.0
