,coef,std_err,p_value,ci_low,ci_high
Intercept,-72.8609821358337,30.04704233727756,0.01531273152079444,-131.75210295884793,-13.969861312819468
C(month)[T.2],0.7471467200897363,0.13103960890553842,1.1862811041689879e-08,0.4903138060866668,1.0039796340928058
C(month)[T.3],1.5181413210444967,0.13746143001805788,2.3403457292912754e-28,1.2487218689457302,1.7875607731432632
C(month)[T.4],2.1693888888888466,0.37489017774508354,7.176905524344513e-09,1.4346176423506636,2.9041601354270297
C(month)[T.5],2.316958525345518,0.5339939285547972,1.4318269085588297e-05,1.2703496574150606,3.363567393275975
C(month)[T.6],2.290646825396828,0.7057189702620777,0.0011710698818179464,0.9074630604764622,3.673830590317194
C(month)[T.7],2.112016129032427,0.7104644570014995,0.002951678652145663,0.7195313810136821,3.5045008770511723
C(month)[T.8],1.8119969278031587,0.6603588019224781,0.006070327298743838,0.5177174591610822,3.106276396445235
C(month)[T.9],1.630515873015889,0.6414590750255831,0.011025611297773784,0.3732791884093698,2.8877525576224086
C(month)[T.10],1.0269239631334433,0.41958673991571555,0.014386499947102512,0.2045490645080661,1.8492988617588204
C(month)[T.11],0.25247222222207816,0.17001568407245826,0.137545489129266,-0.08075239536688011,0.5856968398110365
C(month)[T.12],0.04477726574483798,0.07495891590498699,0.5502687656218666,-0.10213950974910316,0.19169404123877912
elevation_m,-0.004645883517272846,0.00887042957671043,0.600452745666654,-0.022031606015024165,0.012739838980478473
latitude,0.29782696817733023,0.02446819015635366,4.381772660450149e-34,0.24987019670399957,0.3457837396506609
longitude,0.32921061478944297,0.04452632092466029,1.4288636247803898e-13,0.24194062941303662,0.4164806001658493
year,0.034682591377876354,0.014561264330185454,0.01722641386502379,0.006143037721345109,0.0632221450344076
