location_id,year,n_rows,n_cols,file_size_bytes
lk_batticaloa,2020,8784,50,577714
lk_batticaloa,2021,8760,50,581475
lk_batticaloa,2022,8760,50,584210
lk_batticaloa,2023,8760,50,583296
lk_batticaloa,2024,8784,50,574306
lk_batticaloa,2025,8760,50,581635
lk_colombo,2020,8784,50,581713
lk_colombo,2021,8760,50,577525
lk_colombo,2022,8760,50,585310
lk_colombo,2023,8760,50,580790
lk_colombo,2024,8784,50,574037
lk_colombo,2025,8760,50,578386
lk_galle,2020,8784,50,572203
lk_galle,2021,8760,50,568625
lk_galle,2022,8760,50,566072
lk_galle,2023,8760,50,566747
lk_galle,2024,8784,50,561942
lk_galle,2025,8760,50,568293
lk_jaffna,2020,8784,50,573977
lk_jaffna,2021,8760,50,579236
lk_jaffna,2022,8760,50,577352
lk_jaffna,2023,8760,50,575383
lk_jaffna,2024,8784,50,568076
lk_jaffna,2025,8760,50,577972
lk_matara,2020,8784,50,572072
lk_matara,2021,8760,50,568445
lk_matara,2022,8760,50,572642
lk_matara,2023,8760,50,569497
lk_matara,2024,8784,50,567510
lk_trincomalee,2020,8784,50,574698
lk_trincomalee,2021,8760,50,577550
lk_trincomalee,2022,8760,50,578407
lk_trincomalee,2023,8760,50,580231
lk_trincomalee,2024,8784,50,569659
lk_trincomalee,2025,8760,50,581497
