column,dtype
timestamp,"timestamp[us, tz=UTC]"
temperature_2m,double
relative_humidity_2m,double
dew_point_2m,double
apparent_temperature,double
precipitation,double
rain,double
snowfall,double
snow_depth,double
weather_code,double
pressure_msl,double
surface_pressure,double
cloud_cover,double
cloud_cover_low,double
cloud_cover_mid,double
cloud_cover_high,double
et0_fao_evapotranspiration,double
vapour_pressure_deficit,double
wind_speed_10m,double
wind_speed_100m,double
wind_direction_10m,double
wind_direction_100m,double
wind_gusts_10m,double
soil_temperature_0_to_7cm,double
soil_temperature_7_to_28cm,double
soil_temperature_28_to_100cm,double
soil_temperature_100_to_255cm,double
soil_moisture_0_to_7cm,double
soil_moisture_7_to_28cm,double
soil_moisture_28_to_100cm,double
soil_moisture_100_to_255cm,double
boundary_layer_height,double
wet_bulb_temperature_2m,double
total_column_integrated_water_vapour,double
is_day,double
sunshine_duration,double
shortwave_radiation,double
direct_radiation,double
diffuse_radiation,double
direct_normal_irradiance,double
global_tilted_irradiance,double
terrestrial_radiation,double
shortwave_radiation_instant,double
direct_radiation_instant,double
diffuse_radiation_instant,double
direct_normal_irradiance_instant,double
global_tilted_irradiance_instant,double
terrestrial_radiation_instant,double
source_year,int64
ingested_at,"timestamp[us, tz=UTC]"
