location_id,name,country_code,region,latitude,longitude,elevation_m,country,timezone
lk_colombo,Colombo,LK,South Asia,6.9271,79.8612,9.0,LK,UTC
lk_jaffna,Jaffna,LK,South Asia,9.6615,80.0255,9.0,LK,UTC
lk_trincomalee,Trincomalee,LK,South Asia,8.5874,81.2152,9.0,LK,UTC
lk_batticaloa,Batticaloa,LK,South Asia,7.7102,81.6924,10.0,LK,UTC
lk_galle,Galle,LK,South Asia,6.0535,80.221,3.0,LK,UTC
lk_matara,Matara,LK,South Asia,5.9549,80.555,6.0,LK,UTC
lk_hambantota,Hambantota,LK,South Asia,6.1429,81.1212,15.0,LK,UTC
lk_puttalam,Puttalam,LK,South Asia,8.0362,79.8283,4.0,LK,UTC
lk_mannar,Mannar,LK,South Asia,8.981,79.9044,6.0,LK,UTC
lk_anuradhapura,Anuradhapura,LK,South Asia,8.3114,80.4037,90.0,LK,UTC
lk_polonnaruwa,Polonnaruwa,LK,South Asia,7.9403,81.0188,49.0,LK,UTC
lk_kurunegala,Kurunegala,LK,South Asia,7.4863,80.3647,124.0,LK,UTC
lk_ratnapura,Ratnapura,LK,South Asia,6.6828,80.3992,34.0,LK,UTC
lk_kegalle,Kegalle,LK,South Asia,7.2513,80.3464,205.0,LK,UTC
lk_matale,Matale,LK,South Asia,7.4675,80.6234,356.0,LK,UTC
lk_kandy,Kandy,LK,South Asia,7.2906,80.6337,499.0,LK,UTC
lk_gampola,Gampola,LK,South Asia,7.1643,80.5696,496.0,LK,UTC
lk_nawalapitiya,Nawalapitiya,LK,South Asia,7.0505,80.53,577.0,LK,UTC
lk_badulla,Badulla,LK,South Asia,6.9934,81.055,661.0,LK,UTC
lk_ella,Ella,LK,South Asia,6.8667,81.0466,907.0,LK,UTC
lk_welimada,Welimada,LK,South Asia,6.902,80.9223,1064.0,LK,UTC
lk_bandarawela,Bandarawela,LK,South Asia,6.8259,80.9982,1248.0,LK,UTC
lk_haputale,Haputale,LK,South Asia,6.7681,80.959,1427.0,LK,UTC
lk_hatton,Hatton,LK,South Asia,6.8916,80.5955,1303.0,LK,UTC
lk_diyatalawa,Diyatalawa,LK,South Asia,6.807,80.9595,1283.0,LK,UTC
lk_nuwara_eliya,Nuwara Eliya,LK,South Asia,6.9497,80.7891,1888.0,LK,UTC
lk_ambewela,Ambewela,LK,South Asia,6.8992,80.8028,1885.0,LK,UTC
lk_horton_plains,Horton Plains,LK,South Asia,6.8021,80.807,2130.0,LK,UTC
lk_pidurutalagala,Pidurutalagala,LK,South Asia,7.0008,80.7733,2500.0,LK,UTC
lk_sri_pada,Sri Pada,LK,South Asia,6.8096,80.4994,2163.0,LK,UTC
in_chennai,Chennai,IN,South Asia,13.0827,80.2707,12.0,IN,UTC
in_thoothukudi,Thoothukudi,IN,South Asia,8.7642,78.1348,3.0,IN,UTC
in_kanyakumari,Kanyakumari,IN,South Asia,8.0883,77.5385,33.0,IN,UTC
in_thiruvananthapuram,Thiruvananthapuram,IN,South Asia,8.5241,76.9366,12.0,IN,UTC
in_kochi,Kochi,IN,South Asia,9.9312,76.2673,6.0,IN,UTC
in_madurai,Madurai,IN,South Asia,9.9252,78.1198,141.0,IN,UTC
in_coimbatore,Coimbatore,IN,South Asia,11.0168,76.9558,431.0,IN,UTC
in_bengaluru,Bengaluru,IN,South Asia,12.9716,77.5946,910.0,IN,UTC
in_mysuru,Mysuru,IN,South Asia,12.2958,76.6394,748.0,IN,UTC
in_munnar,Munnar,IN,South Asia,10.0889,77.0595,1461.0,IN,UTC
in_kodaikanal,Kodaikanal,IN,South Asia,10.2381,77.4892,2085.0,IN,UTC
in_ooty,Ooty,IN,South Asia,11.4102,76.695,2235.0,IN,UTC
in_doddabetta,Doddabetta,IN,South Asia,11.4016,76.7358,2592.0,IN,UTC
in_anamudi,Anamudi,IN,South Asia,10.169,77.0606,2638.0,IN,UTC
in_shillong,Shillong,IN,South Asia,25.5788,91.8933,1436.0,IN,UTC
in_darjeeling,Darjeeling,IN,South Asia,27.041,88.2663,2100.0,IN,UTC
in_gangtok,Gangtok,IN,South Asia,27.3389,88.6065,1487.0,IN,UTC
