month,temperature_2m,precipitation,wind_speed_10m,relative_humidity_2m,pressure_msl,boundary_layer_height,total_column_integrated_water_vapour
1,0.0,0.0,0.0,0.0,0.0,17.14,17.14
2,0.0,0.0,0.0,0.0,0.0,17.54,17.54
3,0.0,0.0,0.0,0.0,0.0,17.14,17.14
4,0.0,0.0,0.0,0.0,0.0,17.14,17.14
5,0.0,0.0,0.0,0.0,0.0,17.14,17.14
6,0.0,0.0,0.0,0.0,0.0,17.14,17.14
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
