location_id,year,n_obs
lk_batticaloa,2020,8784
lk_batticaloa,2021,8760
lk_batticaloa,2022,8760
lk_batticaloa,2023,8760
lk_batticaloa,2024,8784
lk_batticaloa,2025,8760
lk_colombo,2020,8784
lk_colombo,2021,8760
lk_colombo,2022,8760
lk_colombo,2023,8760
lk_colombo,2024,8784
lk_colombo,2025,8760
lk_galle,2020,8784
lk_galle,2021,8760
lk_galle,2022,8760
lk_galle,2023,8760
lk_galle,2024,8784
lk_galle,2025,8760
lk_jaffna,2020,8784
lk_jaffna,2021,8760
lk_jaffna,2022,8760
lk_jaffna,2023,8760
lk_jaffna,2024,8784
lk_jaffna,2025,8760
lk_matara,2020,8784
lk_matara,2021,8760
lk_matara,2022,8760
lk_matara,2023,8760
lk_matara,2024,8784
lk_trincomalee,2020,8784
lk_trincomalee,2021,8760
lk_trincomalee,2022,8760
lk_trincomalee,2023,8760
lk_trincomalee,2024,8784
lk_trincomalee,2025,8760
