month,location_name,precipitation
1,Batticaloa,213.08333333333334
1,Colombo,115.0166666666667
1,Galle,195.45000000000002
1,Jaffna,101.93333333333334
1,Matara,146.0
1,Trincomalee,195.4333333333333
2,Batticaloa,72.58333333333333
2,Colombo,34.75
2,Galle,82.56666666666666
2,Jaffna,52.28333333333333
2,Matara,60.94
2,Trincomalee,79.36666666666666
3,Batticaloa,59.35
3,Colombo,97.23333333333333
3,Galle,123.51666666666667
3,Jaffna,17.883333333333336
3,Matara,104.5
3,Trincomalee,43.28333333333333
4,Batticaloa,89.41666666666667
4,Colombo,178.36666666666667
4,Galle,203.11666666666667
4,Jaffna,60.25
4,Matara,152.01999999999998
4,Trincomalee,69.76666666666667
5,Batticaloa,102.89999999999999
5,Colombo,354.9666666666667
5,Galle,375.93333333333334
5,Jaffna,91.93333333333334
5,Matara,304.24
5,Trincomalee,72.56666666666666
6,Batticaloa,41.75
6,Colombo,241.33333333333334
6,Galle,228.3166666666667
6,Jaffna,48.21666666666667
6,Matara,169.0
6,Trincomalee,21.233333333333334
7,Batticaloa,50.18333333333334
7,Colombo,222.1833333333333
7,Galle,220.4
7,Jaffna,62.31666666666666
7,Matara,164.34
7,Trincomalee,34.166666666666664
8,Batticaloa,60.81666666666666
8,Colombo,237.08333333333334
8,Galle,215.05000000000004
8,Jaffna,65.81666666666666
8,Matara,179.06
8,Trincomalee,48.550000000000004
9,Batticaloa,99.21666666666665
9,Colombo,254.53333333333333
9,Galle,260.3833333333334
9,Jaffna,71.05
9,Matara,213.9
9,Trincomalee,40.48333333333333
10,Batticaloa,217.01666666666665
10,Colombo,384.1333333333334
10,Galle,292.1
10,Jaffna,223.13333333333333
10,Matara,229.11999999999998
10,Trincomalee,201.5333333333333
11,Batticaloa,392.3333333333333
11,Colombo,450.9666666666667
11,Galle,367.15000000000003
11,Jaffna,466.9166666666667
11,Matara,279.72
11,Trincomalee,458.23333333333335
12,Batticaloa,286.78333333333336
12,Colombo,157.48333333333332
12,Galle,206.88333333333333
12,Jaffna,240.96666666666667
12,Matara,225.85999999999999
12,Trincomalee,291.56666666666666
