month,location_name,wind_speed_10m
1,Batticaloa,2.6505689964157706
1,Colombo,2.4563194444444445
1,Galle,1.3996729390681004
1,Jaffna,5.664520609318996
1,Matara,2.0898870967741936
1,Trincomalee,4.287293906810036
2,Batticaloa,2.7218700980392154
2,Colombo,2.182247549019608
2,Galle,1.4780514705882353
2,Jaffna,5.446419117647059
2,Matara,2.4227846244131457
2,Trincomalee,4.32264705882353
3,Batticaloa,2.18130376344086
3,Colombo,1.621733870967742
3,Galle,1.6391241039426523
3,Jaffna,4.430703405017921
3,Matara,2.3662311827956986
3,Trincomalee,3.4064448924731185
4,Batticaloa,1.883650462962963
4,Colombo,1.7276041666666666
4,Galle,1.8345625
4,Jaffna,4.237159722222222
4,Matara,2.3658694444444444
4,Trincomalee,2.8436712962962964
5,Batticaloa,2.2252464157706093
5,Colombo,2.819372759856631
5,Galle,3.541881720430107
5,Jaffna,6.599460125448029
5,Matara,4.494532258064516
5,Trincomalee,4.8168884408602155
6,Batticaloa,2.7063634259259257
6,Colombo,2.9342777777777775
6,Galle,3.992083333333333
6,Jaffna,7.672569444444444
6,Matara,5.155038888888889
6,Trincomalee,5.949113425925925
7,Batticaloa,3.328418458781362
7,Colombo,2.8823633512544804
7,Galle,4.22703853046595
7,Jaffna,6.781673387096774
7,Matara,5.240454301075269
7,Trincomalee,5.689697580645162
8,Batticaloa,2.662040770609319
8,Colombo,2.9133714157706097
8,Galle,3.8907078853046593
8,Jaffna,6.632842741935484
8,Matara,4.980956989247312
8,Trincomalee,5.098326612903226
9,Batticaloa,2.3459351851851853
9,Colombo,2.8436805555555558
9,Galle,3.6841851851851852
9,Jaffna,7.208583333333333
9,Matara,4.776472222222222
9,Trincomalee,5.568208333333334
10,Batticaloa,2.1218682795698927
10,Colombo,2.146749551971326
10,Galle,3.0490860215053766
10,Jaffna,4.8864224910394265
10,Matara,3.9901236559139788
10,Trincomalee,3.792809139784946
11,Batticaloa,2.1870138888888886
11,Colombo,1.90681712962963
11,Galle,2.3485092592592594
11,Jaffna,5.196562500000001
11,Matara,2.584680555555556
11,Trincomalee,3.5347824074074077
12,Batticaloa,2.528172043010753
12,Colombo,2.3177508960573476
12,Galle,1.7691913082437276
12,Jaffna,6.001559139784946
12,Matara,2.332712365591398
12,Trincomalee,4.178817204301076
